Political Party,Candidate Name,Committee Name,Dropped out of Race,National Poll #s,Total donation(2017-2018),Total donation(2019-2020),Total = F:F+G:G,Columbia Total #,Columbia Total Amount,Total Contributions
Democratic Party,Cory Booker,CORY 2020 (C00695510),,1%,,18494484.80,18494484.80,43,20879.91,127894.39
Democratic Party,Bernie Sanders,BERNIE 2020 (C00696948),,18%,,74373436.02,74373436.02,275,15935.1,
Democratic Party,Elizabeth Warren,"WARREN FOR PRESIDENT, INC. (C00693234)",,15%,0.00,60339946.81,60339946.81,173,14615.52,
Democratic Party,Pete Buttigieg,"PETE FOR AMERICA, INC. (C00697441)",,7%,,51549046.28,51549046.28,91,12232.6,
Democratic Party,Michael Bennet,BENNET FOR AMERICA (C00705186),,1%,,5622066.18,5622066.18,25,10150,
Democratic Party,Joe Biden,BIDEN FOR PRESIDENT (C00703975),,30%,,37785260.96,37785260.96,15,9585,
Democratic Party,Kamala Harris,KAMALA HARRIS FOR THE PEOPLE (C00694455),,4%,,36940238.03,36940238.03,46,9091.75,
Democratic Party,Beto O'Rourke,BETO FOR AMERICA (C00699090),"November 1, 2019",,,17483013.96,17483013.96,47,7270,
Republican Party,Donald Trump,"DONALD J. TRUMP FOR PRESIDENT, INC. (C00580100)",,89%,67548285.10,97779038.50,165327323.60,15,6549.12,
Democratic Party,Steve Bullock,BULLOCK FOR PRESIDENT (C00706416),,0%,,4372419.93,4372419.93,13,5278,
Democratic Party,Kirsten Gillibrand,GILLIBRAND 2020 (C00694018),"August 28, 2019",,,6278790.63,6278790.63,3,3550,
Democratic Party,Bill de Blasio,DE BLASIO 2020 (C00706697),"September 20, 2019",,,1417570.82,1417570.82,2,3050,
Democratic Party,Andrew Yang,FRIENDS OF ANDREW YANG (C00659938),,2%,670272.46,14537530.68,15207803.14,38,2617.39,
Democratic Party,Amy Klobuchar,AMY FOR AMERICA (C00696419),,1%,,17516387.53,17516387.53,4,2040,
Democratic Party,John Delaney,FRIENDS OF JOHN DELANEY (C00508416),,2%,6145779.44,21052448.80,27198228.24,4,1350,
Democratic Party,John Hickenlooper,HICKENLOOPER 2020 (C00698258),08/15/2019,,,3385459.26,3385459.26,2,1250,
Democratic Party,Jay Inslee,INSLEE FOR AMERICA (C00698050),"August 21, 2019",,,6911292.42,6911292.42,1,1000,
Democratic Party,Marianne Williamson,MARIANNE WILLIAMSON FOR PRESIDENT (C00696054),,0%,,6125025.00,6125025.00,7,915,
Democratic Party,Julian Castro,JULIAN FOR THE FUTURE (C00693044),,2%,220387.81,7405143.42,7625531.23,6,535,
